,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
1205,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,90,14684,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer West,Normal,Good,Good,1990,1991,Hip,Standard (Composite) Shingle,Hard Board,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living Quarters,485,Below Average Living Quarters,177,1496,2158,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,2196,0,2196,2,0,3,1,Good,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1990,Rough Finished,3,701,Typical/Average,Typical/Average,Paved,84,70,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,271900,18.516752928357395,19
1206,1-STORY 1946 & NEWER ALL STYLES,Residential High-Density,0,8900,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Normal,Below Average,Below Average,1966,1966,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,1056,Unfinished,0,0,1056,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1056,0,1056,1,0,2,1,Average/Typical,5,0,No Fireplace,Detached from home,1966,Unfinished,1,384,Typical/Average,Typical/Average,Paved,0,42,0,0,0,Minimum Privacy,No Extra Feature,0,November 2006,Warranty Deed - Conventional,Normal Sale,107000,12.02247191011236,40
1207,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9135,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Above Average,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,340,Unfinished,0,1342,1682,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1700,0,1700,2,0,3,1,Good,7,0,No Fireplace,Attached to the home,2003,Rough Finished,2,544,Typical/Average,Typical/Average,Paved,192,23,0,0,0,No Fence,No Extra Feature,0,May 2006,Warranty Deed - Conventional,Normal Sale,200000,21.893814997263274,3
1208,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7763,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Good,1962,1980,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,504,Below Average Living Quarters,108,319,931,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1283,0,1283,1,0,3,1,Average/Typical,6,0,No Fireplace,Detached from home,1980,Unfinished,2,506,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,October 2008,Warranty Deed - Conventional,Normal Sale,140000,18.034265103697024,46
1209,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,10182,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Somerset,Within 200' of North-South Railroad & Normal,Very Good,Average,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,1220,Unfinished,0,440,1660,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1660,0,1660,2,0,3,1,Good,8,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,2,500,Typical/Average,Typical/Average,Paved,322,50,0,0,0,No Fence,No Extra Feature,0,May 2006,Home just constructed and sold,Home was not completed when last assessed,290000,28.481634256531134,0
1210,2-STORY 1946 & NEWER,Residential Low-Density,70,11218,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Normal,Above Average,Average,1992,1992,Gable,Standard (Composite) Shingle,Wood Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1055,1055,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1055,790,1845,2,1,3,1,Good,8,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1992,Rough Finished,2,462,Typical/Average,Typical/Average,Paved,635,104,0,0,0,Good Privacy,Shed (over 100 Square Feet),400,May 2010,Warranty Deed - Conventional,Normal Sale,189000,16.847922980923517,18
1211,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,152,12134,Paved,No Alley Access,Slightly Irregular,Banked,All Public Utilities,Inside Plot,Moderate Slope,Gilbert,Normal,Very Good,Good,1988,2005,Gable,Standard (Composite) Shingle,Wood Siding,Good,Average/Typical,Wood,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,427,Unfinished,0,132,559,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1080,672,1752,2,0,4,1,Average/Typical,8,0,No Fireplace,Basement Garage,1988,Rough Finished,2,492,Typical/Average,Typical/Average,Paved,325,12,0,0,0,No Fence,No Extra Feature,0,June 2010,Warranty Deed - Conventional,Normal Sale,164000,13.515740893357508,22
1212,1-STORY 1945 & OLDER,Residential Low-Density,50,9340,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Edwards,Normal,Below Average,Above Average,1941,1950,Hip,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,344,Unfinished,0,328,672,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,672,0,672,1,0,2,1,Average/Typical,4,0,No Fireplace,Attached to the home,1941,Unfinished,1,234,Typical/Average,Typical/Average,Dirt/Gravel,0,113,0,0,0,No Fence,No Extra Feature,0,August 2009,Warranty Deed - Conventional,Normal Sale,113000,12.098501070663811,68
1213,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,10246,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Sawyer,Normal,Below Average,Excellent,1965,2001,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Good,Cinder Block,Good (90-99 inches),Good,Average Exposure,Good Living Quarters,648,Unfinished,0,0,648,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,960,0,960,0,0,0,1,Average/Typical,3,0,No Fireplace,Attached to the home,1965,Unfinished,1,364,Typical/Average,Typical/Average,Paved,88,0,0,0,0,No Fence,No Extra Feature,0,May 2006,Warranty Deed - Conventional,Normal Sale,145000,14.151864142104236,41
1214,SPLIT FOYER,Residential Low-Density,69,10205,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Average,1962,1962,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Below Average Living Quarters,784,Unfinished,0,141,925,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,999,0,999,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1962,Unfinished,1,300,Typical/Average,Typical/Average,Paved,150,72,0,0,0,No Fence,No Extra Feature,0,May 2006,Warranty Deed - Conventional,Normal Sale,134500,13.179813816756491,44
1215,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,99,7094,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,Average,1966,1966,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,180,Low Quality,374,340,894,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,894,0,894,1,0,3,1,Average/Typical,5,0,No Fireplace,Detached from home,1966,Rough Finished,1,384,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Minimum Privacy,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,125000,17.62052438680575,41
1216,DUPLEX - ALL STYLES AND AGES,Residential Medium Density,68,8930,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Adjacent to East-West Railroad & Normal,Above Average,Average,1978,1978,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Exposure,No Basement,0,No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1318,584,1902,2,0,4,2,Average/Typical,8,0,No Fireplace,Attached to the home,1978,Unfinished,2,539,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,April 2010,Warranty Deed - Conventional,Normal Sale,112000,12.541993281075028,32
1217,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,72,8640,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Very Good,Average,2009,2009,Gable,Standard (Composite) Shingle,Cement Board,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,936,Unfinished,0,364,1300,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1314,0,1314,2,0,3,1,Good,6,0,No Fireplace,Attached to the home,2009,Rough Finished,2,552,Typical/Average,Typical/Average,Paved,135,112,0,0,0,No Fence,No Extra Feature,0,September 2009,Home just constructed and sold,Home was not completed when last assessed,229456,26.557407407407407,0
1220,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,7800,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Average,1964,1964,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,312,Low Quality,600,0,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,0,912,1,0,2,1,Average/Typical,5,0,No Fireplace,Attached to the home,1964,Unfinished,1,288,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,November 2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",115000,14.743589743589743,42
1221,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,55,8250,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Adjacent to feeder street & Normal,Average,Average,1968,1968,Hip,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,250,Low Quality,492,210,952,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1211,0,1211,1,0,3,1,Average/Typical,5,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968,Unfinished,1,322,Typical/Average,Typical/Average,Paved,0,63,0,0,0,No Fence,No Extra Feature,0,August 2008,Warranty Deed - Conventional,Normal Sale,134000,16.242424242424242,40
1222,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,78,10496,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Adjacent to arterial street & Normal,Above Average,Above Average,1949,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Rec Room,196,Unfinished,0,844,1040,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1168,678,1846,2,0,3,1,Average/Typical,7,1,Good - Masonry Fireplace on the main level,Attached to the home,1949,Unfinished,1,315,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Good Wood,No Extra Feature,0,January 2007,Warranty Deed - Conventional,Normal Sale,143000,13.62423780487805,58
1223,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,89,10680,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Fair,1951,1951,Hip,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Fair (70-79 inches),Fair - dampness or some cracking or settling,No Exposure,Low Quality,756,Unfinished,0,1380,2136,Gas forced warm air furnace,Average/Typical,No,Fuse Box over 60 AMP and all Romex wiring (Average),2136,0,2136,2,0,4,1,Average/Typical,7,0,No Fireplace,Detached from home,1951,Unfinished,2,528,Typical/Average,Typical/Average,Paved,0,30,0,0,0,Minimum Privacy,No Extra Feature,0,October 2006,Warranty Deed - Conventional,Normal Sale,137900,12.911985018726591,55
1224,2-STORY 1946 & NEWER,Residential Low-Density,60,15384,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,Adjacent to North-South Railroad & Normal,Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,724,Unfinished,0,64,788,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,788,702,1490,2,1,3,1,Good,8,1,Good - Masonry Fireplace on the main level,Attached to the home,2004,Finished,2,388,Typical/Average,Typical/Average,Paved,100,75,0,0,0,No Fence,No Extra Feature,0,February 2008,Warranty Deed - Conventional,Normal Sale,184000,11.960478419136766,4
1225,SPLIT OR MULTI-LEVEL,Residential Low-Density,65,10482,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Above Average,Very Good,1958,1958,Hip,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,507,Unfinished,0,81,588,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1138,0,1138,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1958,Rough Finished,1,264,Typical/Average,Typical/Average,Paved,224,0,0,0,0,Minimum Wood/Wire,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,145000,13.833237931692425,49
1226,2-STORY 1946 & NEWER,Residential Low-Density,86,14598,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Gentle Slope,Somerset,Adjacent to feeder street & Normal,Above Average,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,894,894,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,894,1039,1933,2,1,4,1,Good,9,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2007,Finished,3,668,Typical/Average,Typical/Average,Paved,100,18,0,0,0,No Fence,No Extra Feature,0,January 2008,Warranty Deed - Conventional,Normal Sale,214000,14.659542403068913,1
1227,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,72,8872,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Average,Very Good,1965,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,595,Unfinished,0,317,912,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,912,0,912,1,0,2,1,Good,5,0,No Fireplace,Detached from home,1992,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,240,0,0,0,No Fence,No Extra Feature,0,December 2008,Warranty Deed - Conventional,Normal Sale,147000,16.568981064021642,43
1228,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,65,8769,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge Heights,Normal,Excellent,Average,2008,2008,Hip,Standard (Composite) Shingle,Metal Siding,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1540,Unfinished,0,162,1702,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1702,0,1702,1,1,1,1,Excellent,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2008,Finished,3,1052,Typical/Average,Typical/Average,Paved,0,72,0,0,224,No Fence,No Extra Feature,0,October 2008,Home just constructed and sold,Home was not completed when last assessed,367294,41.88550575892348,0
1229,SPLIT OR MULTI-LEVEL,Residential Low-Density,70,7910,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Average,1960,1960,Hip,Standard (Composite) Shingle,Brick Face & Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,666,Unfinished,0,409,1075,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1507,0,1507,2,0,4,1,Average/Typical,7,0,No Fireplace,Basement Garage,1960,Unfinished,1,404,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Good Wood,No Extra Feature,0,August 2008,Warranty Deed - Conventional,Normal Sale,127000,16.055625790139064,48
1230,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,0,18890,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Adjacent to feeder street & Adjacent to East-West Railroad,Average,Average,1977,1977,Shed,Standard (Composite) Shingle,Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,498,Average Rec Room,211,652,1361,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1361,1259,2620,2,2,4,2,Average/Typical,12,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1977,Rough Finished,2,600,Typical/Average,Typical/Average,Dirt/Gravel,155,24,145,0,0,No Fence,2nd Garage,8300,August 2007,Warranty Deed - Conventional,Normal Sale,190000,10.058231868713605,30
1231,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,70,7728,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Above Average,1962,1962,Hip,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Average Living Quarters,803,Unfinished,0,303,1106,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1190,0,1190,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1962,Unfinished,2,540,Typical/Average,Typical/Average,Paved,0,18,0,0,0,Good Wood,No Extra Feature,0,May 2006,Warranty Deed - Conventional,Normal Sale,132500,17.14544513457557,44
1232,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,70,9842,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,North Ames,Normal,Below Average,Average,1962,1962,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Exposure,No Basement,0,No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1224,0,1224,2,0,2,2,Average/Typical,6,0,No Fireplace,Car Port,1962,Unfinished,2,462,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,March 2007,Warranty Deed - Conventional,Normal Sale,101800,10.343426132899816,45
1233,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12160,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Average,1959,1959,Hip,Standard (Composite) Shingle,Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,1000,Unfinished,0,188,1188,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1188,0,1188,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1959,Rough Finished,2,531,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Minimum Privacy,No Extra Feature,0,May 2010,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",142000,11.677631578947368,51
1235,2-STORY 1945 & OLDER,Residential Low-Density,96,13132,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Crawford,Normal,Average,Average,1914,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,747,747,Gas forced warm air furnace,Good,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),892,892,1784,1,1,4,1,Average/Typical,9,0,No Fireplace,Detached from home,1914,Unfinished,1,180,Fair,Fair,Dirt/Gravel,203,40,0,0,0,No Fence,No Extra Feature,0,July 2006,Warranty Deed - Conventional,Normal Sale,138887,10.576226012793176,92
1236,2-STORY PUD - 1946 & NEWER,Residential Low-Density,36,2628,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding & Wood Shingles,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,764,764,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,764,862,1626,2,1,2,1,Good,6,0,No Fireplace,Built-In (Garage part of the house - typically has room above the garage),2003,Rough Finished,2,474,Typical/Average,Typical/Average,Paved,0,27,0,0,0,No Fence,No Extra Feature,0,June 2010,Warranty Deed - Conventional,Normal Sale,175500,66.78082191780823,7
1237,2-STORY 1946 & NEWER,Residential Low-Density,41,12393,Paved,No Alley Access,Moderately Irregular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,College Creek,Normal,Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,847,847,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,847,1101,1948,2,1,4,1,Good,8,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2004,Finished,2,434,Typical/Average,Typical/Average,Paved,100,48,0,0,0,No Fence,No Extra Feature,0,September 2006,Warranty Deed - Conventional,Normal Sale,195000,15.734688937303316,2
1238,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,63,13072,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Adjacent to East-West Railroad & Normal,Above Average,Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1141,1141,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1141,0,1141,1,1,3,1,Average/Typical,6,0,No Fireplace,Detached from home,2005,Unfinished,2,484,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,March 2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",142500,10.901162790697674,1
1239,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,64,9037,Paved,No Alley Access,Slightly Irregular,Hillside,All Public Utilities,Inside Plot,Gentle Slope,Timberland,Normal,Very Good,Average,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,428,Unfinished,0,1048,1476,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1484,0,1484,2,0,2,1,Excellent,6,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,2,472,Typical/Average,Typical/Average,Paved,120,33,0,0,0,No Fence,No Extra Feature,0,December 2007,Warranty Deed - Conventional,Normal Sale,265900,29.42348124377559,1
1240,2-STORY 1946 & NEWER,Residential Low-Density,65,8158,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,550,Unfinished,0,334,884,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,884,884,1768,2,1,3,1,Good,8,0,No Fireplace,Attached to the home,2003,Rough Finished,2,543,Typical/Average,Typical/Average,Paved,0,63,0,0,0,No Fence,No Extra Feature,0,July 2008,Warranty Deed - Conventional,Normal Sale,224900,27.568031380240257,5
1241,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,83,9849,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Good,Above Average,2007,2007,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1689,1689,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1689,0,1689,2,0,3,1,Good,7,0,No Fireplace,Attached to the home,2007,Rough Finished,3,954,Typical/Average,Typical/Average,Paved,0,56,0,0,0,No Fence,No Extra Feature,0,June 2007,Home just constructed and sold,Home was not completed when last assessed,248328,25.213524215656413,0
